0;	True
1;	False
2;	False
3;	False
4;	True
5;	True
6;	True
7;	True
8;	True
9;	True
10;	True
11;	True
12;	True
13;	True
14;	True
15;	True
16;	True
17;	True
18;	True
19;	True
20;	True
21;	True
22;	True
23;	True
24;	True
25;	True
26;	True
27;	False
28;	False
29;	False
30;	True
31;	True
32;	True
33;	False
34;	False
35;	False
36;	False
37;	False
38;	True
39;	True
40;	True
41;	True
42;	True
43;	True
44;	True
45;	True
46;	True
47;	True
48;	True
49;	True
50;	True
51;	True
52;	True
53;	True
54;	True
55;	True
56;	True
57;	True
58;	True
59;	True
60;	True
61;	False
